tmdb_id,title,original_title,overview,tagline,release_date,release_year,release_month,original_language,spoken_languages,genres,runtime_minutes,popularity,vote_average,vote_count,adult,cast,director,production_countries,collection_name,retrieval_month
680267,Max Reload and the Nether Blasters,Max Reload and the Nether Blasters,A small town video game store clerk must go from zero to hero after accidentally unleashing the forces of evil from a cursed Colecovision game.,,2020-08-11,2020,8,en,en,"Comedy,Science Fiction",101,2.0711,5.804,46,False,"Tom Plumley,Joey Morgan,Hassie Harrison,Greg Grunberg,Joseph D. Reitman",Scott Conditt,,,2020-08-01
733006,Attack of the Unknown,Attack of the Unknown,A SWAT team transporting a vicious crime syndicate boss must fight their way out of a county detention center during a catastrophic alien invasion.,They're here for blood,2020-08-28,2020,8,en,en,"Action,Science Fiction,Horror",103,2.0143,4.42,50,False,"Tara Reid,Robert LaSardo,Richard Grieco,Tania Fox,Jolene Andersen",Brandon Slagle,US,,2020-08-01
637272,Teacher Shortage,Teacher Shortage,What is supposed to be an educational and collaborative weekend professional development session for the English Department of Prescott High School instead turns into a blood soaked nightmare when a masked killer targets them.,Some are dying to leave the profession!,2020-08-21,2020,8,en,,Horror,86,2.562,4.0,2,False,"Brinke Stevens,Debra Lamb,Tamara Glynn,Kaylee Williams,Melissa Heflin",Troy Escamilla,US,,2020-08-01
717145,Summer Rebels,Letní rebeli,"Rowdy Jonas, 11, longs to spend the summer exploring the Slovakian countryside with his cool Grandpa Bernard, but his exasperated mother plans for him to go to the seaside instead. Jonas sneaks away from home and takes the train by himself to his grandpa’s. Upon arrival he finds his grandpa grumpy and moping. Luckily, his brave and tomboyish neighbor Alex befriends Jonas and together they create a scheme to raise money for a raft of their own. Their illegal racket creates an uproar in the village, lands Grandpa in jail for a crime he didn’t commit and causes Alex and Jonas’s friendship to fray. Will Jonas find a way to repair the mess?",,2020-08-13,2020,8,sk,"de,sk,cs",Family,92,1.6191,5.0,3,False,"Eliáš Vyskočil,Pavel Nový,Liana Pavlíková,Szidi Tobias,Kaya Marie Möller",Martina Saková,"DE,SK",,2020-08-01
736091,Sexy Neighbor Sisters,섹시한 이웃 자매,"Min-seok is captivated by Na-ri's beauty when they met by chance on the street. The new house in front is noisy and as he knocks on the door, Na-ri and Yeong-hee appears from within. Min-seok drinks with these two sister neighbors. Min-seok spends the night with Yeong-hee while drinking. Na-ri beings to misunderstand these two people and Min-seok confesses his feelings to Na-ri. However, relationship between Jae-hyeon and Na-ri is not serious. Can Min-seok find love?",,2020-08-01,2020,8,ko,ko,"Drama,Romance",78,1.8207,5.7,3,False,"Jin Joo,Lucy,Min Do-yoon,Shin Yeon-ho,Ye Seul",Lee Dong-Joon,KR,,2020-08-01
730972,Older,Older,"Alex is a failed filmmaker approaching thirty who has moved back in with his parents and re-adopted his teenage lifestyle. While attending a wedding, he reconnects with Jenny, an old high school friend who can both appreciate and relate to Alex’s reluctance to grow up. But Alex is also trying to court Stephanie, someone he has had on and off again dalliances with for over a decade.",You're never ready to grow up.,2020-08-23,2020,8,en,en,"Romance,Drama",93,1.6772,3.8,8,False,"Guy Pigden,Liesha Ward-Knox,Astra McLaren,Harley Neville,Ross Mitchell",Guy Pigden,NZ,,2020-08-01
747358,Big Tits Sisters,가슴 큰 자매들,"Jin-woo, who attends a physical school, visits the home of Min-cheol, a physical education teacher in high school who lives outside the city for vacation. Office worker Soo-hyun, now a college student, Soo-hee, and Min-cheol, who greet Jin-woo with two daughters. A few days later, Min-cheol went on a business trip due to a local seminar. I am sorry to Jin-woo and leave the house. That evening, Soo-hyun got drunk late at night. Complaining over the grievances of office workers. He seduces Jin-woo, saying it's been a long time since he met a man. The next day, Soo-hee approaches Jin-woo after finishing her workout.  She says her dad is annoying and doesn't tell her well, and asks her how to stretch. Naturally, she started tempting Jin-woo because she saw her doing with her sister while the skin ship was coming and going.​",,2020-08-28,2020,8,ko,ko,Drama,61,1.4547,4.0,4,False,"Ah Reum,Lee Soo,Min Do-yoon,Jo Yong-bok",Lee Jeong-seok,,,2020-08-01
612706,Work It,Work It,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,Dance to your own beat.,2020-08-07,2020,8,en,en,"Comedy,Music",93,1.6184,7.5,1205,False,"Sabrina Carpenter,Liza Koshy,Keiynan Lonsdale,Michelle Buteau,Jordan Fisher",Laura Terruso,US,,2020-08-01
679781,Pink Opaque,Pink Opaque,"A Los Angeles film student struggles to graduate while navigating a budding romance and reconnecting with his estranged uncle, leading to a renewed uncertainty of his future.",Life is never clear.,2020-08-31,2020,8,en,en,"Romance,Drama",91,1.7861,6.5,4,False,"Elijah Boothe,Ruby Park,Chaim Dunbar,Daniel C,Jeremy Ford",derrick Perry,US,,2020-08-01
1106278,The Hour,The Hour,The hour before actors go on stage at the National Theatre in London is a performance in and of itself.,,2020-08-19,2020,8,en,,Documentary,30,2.8217,0.0,0,False,"Simon Russell Beale,Ruby Bentall,Ciarán Hinds,Jenny Jules,Rory Keenan",Pinny Grylls,GB,,2020-08-01
